rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,42.51,1.8003567685715307,,
2,49.67,1.4263386890149345,,
3,54.25,1.2970408962938351,,
4,58.5,1.1832145661972582,,
5,61.82,1.0976584871736959,,
6,64.31,1.0250880562078457,,
7,65.99,0.9732838722463614,,
8,67.41,0.930555992613966,,
9,69.03,0.8964966276583199,,
10,70.07,0.8631926403639797,,
11,70.88,0.8440081599040534,,
12,71.95,0.8211673391512788,,
13,72.57,0.8022610826042894,,
14,73.33,0.7833342902576581,,
15,73.71,0.7724389831859845,,
16,74.32,0.7550433238093465,,
17,74.68,0.7452529235579335,,
18,74.94,0.7349767136497619,,
19,74.96,0.7269424983678153,,
20,75.69,0.7141545170221847,,
