rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,34.8,1.9391583337570533,,
2,44.21,1.5915090908257725,,
3,47.98,1.4672693265512728,,
4,51.03,1.3773098045263807,,
5,53.25,1.3175915831955858,,
6,55.46,1.2592298641753272,,
7,57.57,1.204439487701026,,
8,59.45,1.1560003262358352,,
9,60.95,1.1090705135759835,,
10,62.73,1.0729384768885164,,
11,64.02,1.0331315687670113,,
12,64.93,1.0024286786588237,,
13,65.82,0.9721743275944036,,
14,66.7,0.9522088456648988,,
15,67.27,0.9313129917882121,,
16,67.93,0.9110519834600699,,
17,68.89,0.8946630418681489,,
18,69.61,0.8791096113360347,,
19,70.14,0.8638243154405405,,
20,70.44,0.8548786888678614,,
