rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,35.13,1.9480467924294762,,
2,43.53,1.602481405955915,,
3,48.25,1.4654143843026206,,
4,51.01,1.3814819502754334,,
5,53.1,1.3146633637218048,,
6,55.3,1.2603685600689043,,
7,57.37,1.2052162127753796,,
8,59.26,1.1503249366824237,,
9,60.81,1.1111381680439836,,
10,62.25,1.0697603117162808,,
11,63.69,1.0367270647146452,,
12,64.89,1.0052678952582728,,
13,65.96,0.9716913719146777,,
14,66.59,0.9493262981073544,,
15,67.26,0.9304936322541283,,
16,68.45,0.9090223210497786,,
17,68.74,0.8957050376045056,,
18,69.48,0.8792990522262768,,
19,69.94,0.8625209159173143,,
20,70.75,0.8484950234143498,,
