rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,43.0,1.806767176515378,,
2,49.75,1.4198460289464592,,
3,54.36,1.2885055353466315,,
4,58.46,1.1836569895759559,,
5,62.04,1.086456824224978,,
6,64.71,1.019211540587794,,
7,66.41,0.9655090762784306,,
8,67.92,0.9309089522773084,,
9,69.54,0.8866403276166215,,
10,70.35,0.8656096823108844,,
11,71.05,0.839715843859572,,
12,72.03,0.8201285487356277,,
13,72.89,0.8021565361525684,,
14,73.26,0.7863569294873137,,
15,73.73,0.7700553524037139,,
16,74.18,0.7624688277038904,,
17,74.87,0.7521947120515683,,
18,74.86,0.7418025197883764,,
19,75.49,0.7321702076223331,,
20,75.58,0.7207459012349955,,
