class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.20253484894555873,1.3950486880500963,0,8.6,2.30501694191759,,
,,0,10.0,3.2679689768404243,,
,,1,10.0,2.6228290007898982,,
,,2,10.0,2.476466821786314,,
,,3,11.93,3.209608604351933,,
,,4,11.99,2.832803173187061,,
,,5,11.17,2.3075168277508915,,
,,6,12.84,2.3095850807409315,,
,,7,9.57,2.3190199239566303,,
,,8,9.51,2.324987156322589,,
,,9,9.81,2.348679780198362,,
,,10,10.15,2.5012645927100134,,
,,11,10.01,3.222254748542469,,
,,12,10.05,3.7965743328435733,,
,,13,10.02,2.535881778302665,,
,,14,10.0,3.366904050778276,,
,,15,16.22,2.3659452584604868,,
,,16,12.62,2.4805794135450174,,
,,17,11.99,2.8494794719135417,,
,,18,11.2,2.3601585325722496,,
,,19,10.07,2.371418454014836,,
,,20,,,,
