class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.0831182520698999,0.3330350451797084,0,8.6,2.30501694191759,,
,,0,18.94,2.0515385968997455,,
,,1,26.0,2.002060360421007,,
,,2,33.18,1.7859479306985775,,
,,3,38.11,1.6961293521399696,,
,,4,40.39,1.666177375248065,,
,,5,39.42,1.8775297997477718,,
,,6,34.99,1.9552097088231828,,
,,7,37.48,1.9549229678254538,,
,,8,42.18,1.825028633919006,,
,,9,43.0,1.6325249824280175,,
,,10,44.82,1.837078124189529,,
,,11,45.33,1.5277526513837016,,
,,12,40.6,1.8820734184009198,,
,,13,44.42,1.596235877408768,,
,,14,42.72,1.9641603189535415,,
,,15,46.03,1.7919219317146764,,
,,16,41.56,1.9782355540095808,,
,,17,43.31,2.334271097335572,,
,,18,46.43,2.0140477980668554,,
,,19,42.14,2.263488136160488,,
,,20,,,,
