rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,12.6,2.303129976168989,,
1,18.63,2.382510836893758,,
2,28.03,1.9410518209774272,,
3,35.18,1.769751774236417,,
4,34.19,1.7491172925351908,,
5,34.47,1.749068670379468,,
6,33.74,1.7755684711681767,,
7,38.64,1.621755988453143,,
8,35.1,1.7431271708430573,,
9,36.45,1.7174189620124647,,
10,35.44,1.724239002020595,,
11,38.25,1.7195031433440626,,
12,32.7,1.7695359387717688,,
13,36.5,1.7223231122135736,,
14,35.77,1.6995964850099703,,
15,38.08,1.6757815386921453,,
16,34.48,1.7172600282266879,,
17,38.26,1.6271208269527544,,
18,37.63,1.6807930812287255,,
19,37.42,1.7217881020646506,,
20,34.96,1.7119395812860312,,
21,37.94,1.6668622543255742,,
22,38.74,1.6652883184603609,,
23,38.81,1.6490200971262143,,
24,40.11,1.6275297235757018,,
25,34.64,1.743763918693835,,
26,38.17,1.708859405959376,,
27,37.07,1.6765256887807634,,
28,36.0,1.746653513786511,,
29,38.76,1.6811680142491008,,
30,35.49,1.792778682404052,,
31,38.15,1.6910580739426537,,
32,38.66,1.6491342847720503,,
33,33.39,1.770562139182045,,
34,38.92,1.6828834557304748,,
35,35.23,1.7614980273353407,,
36,35.26,1.7692763138883791,,
37,34.4,1.7913317512780333,,
38,37.09,1.6976990631213202,,
39,37.43,1.6535383935172718,,
40,37.71,1.6594662951966064,,
41,34.24,1.8111592881595746,,
42,38.56,1.6514303688043224,,
43,36.38,1.7064760104535868,,
44,38.99,1.665262740260115,,
45,33.8,1.8055087685965883,,
46,39.86,1.6571686157403283,,
47,37.55,1.6666188502844912,,
48,34.22,1.757890167708595,,
49,38.62,1.6601677626466598,,
50,35.22,1.6966072279043471,,
