rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,10.21,2.301623849442211,,
1,26.14,2.177773040704453,,
2,34.48,1.932970065278367,,
3,39.09,1.7268560096478691,,
4,43.7,1.5683333431950772,,
5,47.0,1.453832548647262,,
6,49.35,1.3885306005660718,,
7,52.43,1.3132268529349622,,
8,54.01,1.2694411708143192,,
9,55.31,1.2443732651658714,,
10,57.32,1.1901371294317153,,
11,57.76,1.1704829916024742,,
12,58.19,1.1598596094896236,,
13,59.32,1.135573938631783,,
14,60.45,1.1141780759579838,,
15,60.59,1.1127134039760016,,
16,61.71,1.0893193498587075,,
17,62.42,1.0797383747161768,,
18,62.71,1.072547814526116,,
19,63.19,1.0521300793074952,,
20,63.47,1.0393297158110255,,
21,63.84,1.04410027267453,,
22,64.25,1.032027408813897,,
23,64.69,1.0193380053622274,,
24,65.4,1.0075546969620945,,
25,65.56,1.000289844533506,,
26,65.53,1.0017541612679965,,
27,65.57,1.0035925881740766,,
28,66.25,0.9845347049327704,,
29,66.05,0.9975166456958356,,
30,66.07,1.0015584068557324,,
31,65.97,1.015234531685948,,
32,66.23,1.0181555011021062,,
33,66.38,1.013771840463431,,
34,66.69,1.005346466367618,,
35,67.01,0.997130285627164,,
36,67.42,0.9922358382243318,,
37,67.84,0.9791574434350474,,
38,68.22,0.9720525081736592,,
39,68.17,0.9720513814935288,,
40,68.3,0.9701844798490262,,
41,68.29,0.9657038993919238,,
42,68.01,0.9812867627166711,,
43,67.73,0.9948260075748919,,
44,67.78,1.0001958757162857,,
45,67.68,1.0111290657291778,,
46,67.75,1.007141926132452,,
47,68.63,0.9880150658444474,,
48,69.34,0.9727279007815706,,
49,68.9,0.9835529539722223,,
50,68.89,0.9931136806742452,,
