rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,7.67,2.3113718710768336,,
1,13.22,4.1631696765034345,,
2,10.97,2.6668840254457615,,
3,15.99,2.3935109765384905,,
4,17.21,2.784416680899672,,
5,23.43,2.243374941067193,,
6,22.3,2.166502501256169,,
7,23.16,2.259326966045002,,
8,21.82,2.162891019266634,,
9,22.61,2.119348999029531,,
10,18.38,2.4251650130025113,,
11,22.91,2.1715025284800666,,
12,24.22,2.097244197187332,,
13,21.92,2.1474104552223277,,
14,22.88,2.1163658082675627,,
15,19.39,2.2231046764995344,,
16,25.28,2.055669738461796,,
17,24.82,2.0436878927980366,,
18,19.14,2.235699653244628,,
19,24.39,2.0654215184263527,,
20,22.75,2.276061007390007,,
21,21.8,2.113289600744034,,
22,24.73,2.1031620510089133,,
23,24.94,2.077921389010006,,
24,24.88,2.1432192516022215,,
25,23.02,2.064934584660271,,
26,24.16,2.080425783848991,,
27,26.11,2.029384605039042,,
28,22.8,2.074280458898209,,
29,23.49,2.1231494033679414,,
30,21.78,2.149282824117155,,
31,22.13,2.177474735263057,,
32,22.61,2.1391002686259846,,
33,23.7,2.082971996773546,,
34,21.56,2.1817826562034437,,
35,17.09,2.312524986724122,,
36,25.32,2.0209076210332753,,
37,23.94,2.077967619743591,,
38,25.34,2.063020329886732,,
39,22.58,2.1713139904192844,,
40,21.19,2.1147069298802093,,
41,20.02,2.124367644611639,,
42,23.59,2.0771700223794762,,
43,22.48,2.2133004794867275,,
44,22.26,2.0473994241354947,,
45,19.8,2.354682827529054,,
46,15.84,2.4231069194623074,,
47,19.23,2.1657695511278634,,
48,22.99,2.094890154969578,,
49,10.0,nan,,
50,10.0,nan,,
