class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.0831182520698999,0.3330350451797084,0,8.6,2.30501694191759,,
,,0,34.09,2.067778410241246,,
,,1,44.11,1.6261131047440793,,
,,2,47.56,1.474877809945006,,
,,3,50.53,1.382541138904925,,
,,4,53.34,1.318754514756675,,
,,5,55.89,1.2673984946915136,,
,,6,57.44,1.2015205606484947,,
,,7,59.83,1.142224779525123,,
,,8,61.2,1.1001779916949166,,
,,9,62.45,1.0614976646801153,,
,,10,63.56,1.0302533480686882,,
,,11,64.63,1.0010035622615021,,
,,12,65.54,0.974123582291527,,
,,13,66.53,0.947327440348677,,
,,14,67.3,0.9237151361121156,,
,,15,68.43,0.9085967243669894,,
,,16,68.76,0.8911597164103779,,
,,17,69.28,0.8794949262286909,,
,,18,69.77,0.8669287376700879,,
,,19,70.49,0.8510525168511814,,
,,20,,,,
