class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.11601136470454662,0.5898461469260075,0,8.6,2.30501694191759,,
,,0,17.77,2.2601240222065595,,
,,1,30.17,1.931466256467679,,
,,2,39.6,1.6828844871003026,,
,,3,43.23,1.553868916088019,,
,,4,45.98,1.4810272131484157,,
,,5,47.84,1.4162915232844246,,
,,6,49.36,1.3794690979936253,,
,,7,51.27,1.322411432624244,,
,,8,52.53,1.281363529328721,,
,,9,54.42,1.2426437442295086,,
,,10,55.99,1.2051359900651268,,
,,11,57.03,1.1797004324940448,,
,,12,58.01,1.152395064647967,,
,,13,59.03,1.1204505526600554,,
,,14,60.03,1.0979421470111932,,
,,15,61.18,1.0748373549967147,,
,,16,61.84,1.056812744361524,,
,,17,62.68,1.035699987373413,,
,,18,63.25,1.0175816192032812,,
,,19,63.79,1.0019446712332412,,
,,20,,,,
