class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.20253484894555873,1.3950486880500963,0,8.6,2.30501694191759,,
,,0,18.83,2.240803209737467,,
,,1,35.38,1.9817291281093805,,
,,2,41.13,1.792814538501703,,
,,3,46.78,1.6115287275740895,,
,,4,49.43,1.4899563164756702,,
,,5,52.63,1.3994489382631101,,
,,6,54.46,1.3274605597931737,,
,,7,56.55,1.2517528193065535,,
,,8,57.69,1.2136398508145025,,
,,9,59.73,1.1616383560549337,,
,,10,60.02,1.1326555118393213,,
,,11,62.29,1.09289210177839,,
,,12,62.81,1.065950542974015,,
,,13,63.84,1.0468289218009852,,
,,14,64.56,1.0190901493492979,,
,,15,64.48,1.020040026868875,,
,,16,65.48,0.9900658827620192,,
,,17,65.73,0.9759407765187395,,
,,18,66.05,0.9719439217457756,,
,,19,66.77,0.949851707147714,,
,,20,,,,
