class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.0831182520698999,0.3330350451797084,0,8.6,2.30501694191759,,
,,0,26.45,2.2089030163737533,,
,,1,40.58,1.7709651610340935,,
,,2,44.09,1.5881483455816396,,
,,3,46.53,1.4824058160233422,,
,,4,49.08,1.417465721837248,,
,,5,50.93,1.362109003737331,,
,,6,53.13,1.3007512050695693,,
,,7,55.01,1.253741608450588,,
,,8,56.95,1.2140006383006183,,
,,9,57.97,1.17122170967035,,
,,10,59.59,1.1322004463725959,,
,,11,60.98,1.1059233205387007,,
,,12,62.04,1.0708889768908199,,
,,13,63.14,1.0426512059693138,,
,,14,63.98,1.0148797143762485,,
,,15,64.89,0.9936799825951695,,
,,16,65.7,0.9756343798896375,,
,,17,66.13,0.9565840592018713,,
,,18,66.56,0.9350789728256079,,
,,19,67.19,0.9253675981451528,,
,,20,,,,
