rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,35.79,1.9706353680394328,,
2,44.4,1.5942669478468239,,
3,48.76,1.4466517664753973,,
4,51.81,1.3642260295133621,,
5,54.09,1.2939061825267804,,
6,56.2,1.231173711843765,,
7,58.45,1.1794546880661108,,
8,60.57,1.1255924819757381,,
9,62.19,1.0800654274967914,,
10,63.6,1.0410251920215619,,
11,64.35,1.0099938433772078,,
12,65.47,0.9832298925128607,,
13,66.45,0.9622154527198011,,
14,67.45,0.9288162977550738,,
15,68.2,0.9127475246072958,,
16,68.99,0.8949495074086296,,
17,69.71,0.8774678193913481,,
18,70.11,0.8677395387008168,,
19,70.83,0.8496941435641755,,
20,71.19,0.8335602044487913,,
21,71.62,0.8233564255146173,,
22,72.12,0.8166263823311168,,
23,72.38,0.8097686169627375,,
24,73.02,0.7954866621440972,,
25,73.49,0.7889520557353291,,
26,73.75,0.7804654806185836,,
27,73.78,0.7756495422448594,,
28,74.12,0.7691754053195063,,
29,74.33,0.7579098021070035,,
30,74.66,0.7518508993208218,,
31,74.67,0.7494812625856064,,
32,74.76,0.7448321957938587,,
33,75.01,0.7384110668215889,,
34,75.15,0.7319785871635229,,
35,75.09,0.7293352073373885,,
36,75.11,0.7320756672289425,,
37,75.59,0.7166398876962571,,
38,75.86,0.7157041743730965,,
39,76.09,0.7090805101508911,,
40,76.14,0.7014112950513919,,
41,76.51,0.6997163529974965,,
42,76.3,0.6985203230533356,,
43,76.6,0.6953906429270966,,
44,76.66,0.6922250787099711,,
45,76.74,0.6868838360324835,,
46,77.04,0.6830986781527821,,
47,77.13,0.6802215360033627,,
48,77.08,0.6771060619205712,,
49,77.29,0.6737998716842634,,
50,77.47,0.6701385977740486,,
