dataset,strategy,iid_equal_acc,iid_unequal_acc,noniid_acc,iid_vs_noniid_delta
cifar10,fedmean,62.733999999999995,62.94,59.38399999999999,3.3500000000000014
cifar10,fedmedian,61.272000000000006,57.032000000000004,52.90599999999999,8.366000000000014
cifar10,fedavg,62.65599999999999,67.244,62.056,0.5999999999999943
mnist,fedmean,98.94399999999999,98.968,98.82000000000001,0.12399999999998101
mnist,fedmedian,98.886,98.586,98.55800000000002,0.32799999999997453
mnist,fedavg,98.97799999999998,99.12,98.902,0.0759999999999792
fashion_mnist,fedmean,89.074,89.176,88.174,0.8999999999999915
fashion_mnist,fedmedian,89.048,88.086,87.25,1.7980000000000018
fashion_mnist,fedavg,89.09,90.102,88.642,0.4480000000000075
