class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.11601136470454662,0.5898461469260075,0,8.6,2.30501694191759,,
,,0,29.16,2.138305633593672,,
,,1,41.25,1.7277482222444334,,
,,2,46.11,1.5335966759977249,,
,,3,48.75,1.4322050345210602,,
,,4,50.77,1.365645598870116,,
,,5,52.89,1.300212269393019,,
,,6,54.91,1.2537848208658993,,
,,7,56.2,1.2047898131437575,,
,,8,58.08,1.1609940014708156,,
,,9,59.2,1.1312769491451617,,
,,10,60.11,1.0968788963156386,,
,,11,61.58,1.0612538117951098,,
,,12,62.98,1.0290748105643275,,
,,13,63.7,1.0091039923052438,,
,,14,64.51,0.9842667425402437,,
,,15,65.22,0.9654487405722134,,
,,16,65.43,0.9558417231511003,,
,,17,66.28,0.9375730968131044,,
,,18,66.98,0.9195889379269779,,
,,19,67.12,0.9139851570700686,,
,,20,,,,
