class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.20253484894555873,1.3950486880500963,0,8.6,2.30501694191759,,
,,0,21.42,2.251254326238419,,
,,1,32.21,2.078630976783582,,
,,2,35.64,1.9151164655106516,,
,,3,39.02,1.795450658843921,,
,,4,41.25,1.6917977420666728,,
,,5,44.03,1.6089157947717003,,
,,6,45.84,1.5448479705725233,,
,,7,47.91,1.4952646661490296,,
,,8,49.38,1.4445338317761407,,
,,9,51.21,1.4000212632048243,,
,,10,52.36,1.3528287684955536,,
,,11,53.89,1.3157011459048944,,
,,12,54.59,1.2892251397474124,,
,,13,55.95,1.261943424662081,,
,,14,57.0,1.2301407125049506,,
,,15,57.67,1.2044543197360664,,
,,16,57.99,1.1868092002579198,,
,,17,59.3,1.1616852830012385,,
,,18,60.11,1.1360402461438894,,
,,19,60.69,1.1221883921577527,,
,,20,,,,
