method,no_attack_accuracy,no_attack_loss,random_noise_accuracy,random_noise_loss,sign_flipping_accuracy,sign_flipping_loss
FedAvg,76.77,0.6694132692802447,10.01,2.4952025603943357,70.31,0.9978746512827401
FedMedian,75.17,0.7060704945851439,75.07,0.7438748686934431,69.39,1.0199710944780527
Krum,8.13,2.307925724754699,8.86,2.301384863381188,10.76,2.308362572337873
TrimmedMean,10.18,2.301240105979359,10.77,2.3057928214819667,11.89,2.3051077580680484
