dataset,condition,num_clients,strategy,final_accuracy_mean,final_accuracy_std,final_accuracy_count,best_accuracy_mean
fashion_mnist,noniid_unequal,10,krum,73.64,3.34,5,77.64
fashion_mnist,noniid_unequal,10,multikrum,90.56,0.21,5,90.7
fashion_mnist,noniid_unequal,25,fedadam,10.0,0.0,5,48.9
fashion_mnist,noniid_unequal,25,fedavg,73.16,35.32,5,73.52
fashion_mnist,noniid_unequal,25,fedmean,88.85,1.63,5,89.3
fashion_mnist,noniid_unequal,25,fedmedian,88.35,0.89,5,88.54
fashion_mnist,noniid_unequal,25,fedsgd,90.15,0.38,5,90.2
fashion_mnist,noniid_unequal,25,fedtrimmed,89.26,0.29,5,89.4
fashion_mnist,noniid_unequal,25,krum,78.52,1.64,5,80.39
fashion_mnist,noniid_unequal,25,multikrum,89.71,0.15,5,89.74
fashion_mnist,noniid_unequal,50,fedadam,10.0,0.0,5,45.43
fashion_mnist,noniid_unequal,50,fedavg,88.64,0.26,5,88.68
fashion_mnist,noniid_unequal,50,fedmean,88.17,0.2,5,88.21
fashion_mnist,noniid_unequal,50,fedmedian,87.25,0.28,5,87.28
fashion_mnist,noniid_unequal,50,fedsgd,88.64,0.3,5,88.65
fashion_mnist,noniid_unequal,50,fedtrimmed,87.59,0.12,5,87.6
fashion_mnist,noniid_unequal,50,krum,73.75,3.13,5,75.97
fashion_mnist,noniid_unequal,50,multikrum,88.04,0.26,5,88.09
mnist,noniid_equal,10,fedadam,90.17,18.65,5,93.67
mnist,noniid_equal,10,fedavg,99.24,0.12,5,99.27
mnist,noniid_equal,10,fedmean,99.24,0.11,5,99.27
mnist,noniid_equal,10,fedmedian,98.77,0.79,5,98.85
mnist,noniid_equal,10,fedsgd,99.25,0.11,5,99.28
mnist,noniid_equal,10,fedtrimmed,98.33,1.67,5,98.36
mnist,noniid_equal,10,krum,90.07,6.03,5,91.07
mnist,noniid_equal,10,multikrum,98.0,2.38,5,98.04
mnist,noniid_equal,25,fedadam,61.8,47.37,5,82.32
mnist,noniid_equal,25,fedavg,99.08,0.06,5,99.13
mnist,noniid_equal,25,fedmean,99.07,0.07,5,99.12
mnist,noniid_equal,25,fedmedian,98.93,0.08,5,98.95
mnist,noniid_equal,25,fedsgd,99.09,0.07,5,99.13
mnist,noniid_equal,25,fedtrimmed,98.99,0.05,5,99.04
mnist,noniid_equal,25,krum,92.19,1.81,5,93.43
mnist,noniid_equal,25,multikrum,99.08,0.07,5,99.1
mnist,noniid_equal,50,fedadam,10.48,0.8,5,52.24
mnist,noniid_equal,50,fedavg,98.76,0.04,5,98.8
mnist,noniid_equal,50,fedmean,98.8,0.03,5,98.8
mnist,noniid_equal,50,fedmedian,98.55,0.03,5,98.56
mnist,noniid_equal,50,fedsgd,98.77,0.03,5,98.77
mnist,noniid_equal,50,fedtrimmed,98.66,0.04,5,98.68
mnist,noniid_equal,50,krum,90.09,2.99,5,92.52
mnist,noniid_equal,50,multikrum,98.75,0.06,5,98.78
mnist,noniid_unequal,10,fedadam,98.67,0.15,5,98.77
mnist,noniid_unequal,10,fedavg,99.23,0.04,5,99.28
mnist,noniid_unequal,10,fedmean,99.25,0.06,5,99.3
mnist,noniid_unequal,10,fedmedian,99.22,0.06,5,99.25
mnist,noniid_unequal,10,fedsgd,99.22,0.08,5,99.28
mnist,noniid_unequal,10,fedtrimmed,99.21,0.05,5,99.26
mnist,noniid_unequal,10,krum,91.22,4.77,5,93.13
mnist,noniid_unequal,10,multikrum,99.13,0.07,5,99.17
mnist,noniid_unequal,25,fedadam,52.71,43.98,5,76.6
mnist,noniid_unequal,25,fedavg,99.06,0.04,5,99.08
mnist,noniid_unequal,25,fedmean,98.96,0.08,5,99.07
mnist,noniid_unequal,25,fedmedian,98.89,0.09,5,98.93
mnist,noniid_unequal,25,fedsgd,99.13,0.11,5,99.13
mnist,noniid_unequal,25,fedtrimmed,99.02,0.06,5,99.05
mnist,noniid_unequal,25,krum,90.32,3.04,5,93.27
mnist,noniid_unequal,25,multikrum,99.04,0.1,5,99.05
mnist,noniid_unequal,50,fedadam,27.85,38.21,5,63.48
mnist,noniid_unequal,50,fedavg,98.9,0.08,5,98.93
mnist,noniid_unequal,50,fedmean,98.82,0.05,5,98.83
mnist,noniid_unequal,50,fedmedian,98.56,0.09,5,98.57
mnist,noniid_unequal,50,fedsgd,98.88,0.05,5,98.92
mnist,noniid_unequal,50,fedtrimmed,98.61,0.07,5,98.66
mnist,noniid_unequal,50,krum,89.73,4.52,5,93.07
mnist,noniid_unequal,50,multikrum,98.82,0.1,5,98.85
